Company,Industry,Location,Employees,Stage,Website,Notes,Linkedin_url
CA Ventures,Real Estate,"Chicago, Illinois",11-50,A,http://www.ca-ventures.com,"No immediate hiring for strateg, ops, but hiring. for project managers. CA Ventures (“CA”)  is a vertically integrated real estate investment management company operating across the United States.

We offer comprehensive in-house investment, development, and operational services, and specializes in a range of niche, commercial real estate asset classes including Student Living, Senior Living and Multifamily.

Our thematic, data-driven investment strategy and unique scalable business model have allowed us to move with speed and precision over time – yielding accelerated growth and diversification. In many ways CA is unrecognizable from the company it was at its founding, but our exceptional results continue to be unmistakable.",https://www.linkedin.com/company/caventures/about/
Kiser Group,Real Estate,"Chicago, Illinois",11-50,A,http://www.kisergroup.com,"Only hiring brokers at the moment. At Kiser Group, we understand that multifamily real estate is more than just a sector—it’s a foundation of the investment landscape. With a focus on the resilience and opportunity this asset class provides, we’re committed to guiding clients through every market cycle. Our mission is to build lasting relationships and deliver expert advisory rooted in data, strategy, and a deep understanding of market dynamics. Whether you’re buying or selling, our goal is to help you unlock value, minimize risk, and achieve your investment objectives. At Kiser Group, we take pride in being exceptional brokers dedicated to delivering results.",https://www.linkedin.com/company/kisergroup/
CGI+ ,Real Estate,"Los Angeles, California",11-50,A,https://cgiplus.com/,"No immediate hiring for strategy ops, but CGI+ is a real estate investment and strategy firm providing personalized, high-quality service and performing assets. 

We seek to positively shape the future as it relates to the spaces we all live in, while rewarding both our investing partners and the local community. We provide sound advice, while negotiating the sales and acquisitions of properties in a personable and skillful manner. We arrange financing and equity capital at the lowest possible cost commensurate with the risk profile of the transaction.",https://www.linkedin.com/company/cgiplus/
Behring Co.,Real Estate,"Danville, California",11-50,A,https://behringco.com,"No hirings that overlap. with immediate needs, but Behring Co. is a privately owned, vertically integrated real estate development and private equity platform located in the San Francisco Bay Area.  With over a 60-year family history of development and successful investment, Behring Co. has cultivated a specific expertise in high value, mixed-used residential projects with urban in-fill locations that benefit from permanent demand drivers such as mass transit. Behring Co. has over $2.6B in Development Experience, over $130M in Assets Under Management, and Investors and Partners in 26 Different Countries. We were founded in 2012 and have sponsored 6 investment funds.

Behring’s investment strategy is simple—continue to raise the bar and strive to be an industry leader in everything we do.  As a developer, we take a hands-on approach that maximizes value at every phase of real estate development:  underwriting acquisitions, smart design and pre-construction programming, engineering and construction, international sourcing and procurement, financing and operations, refinancing and exit. As a private equity firm, we identify domestic greenfield development opportunities that surpass our minimum benchmark or 15% IRRs.  Where possible, we will lever opportunities with EB-5 capital that lowers cost-of-capital and is a win-win solution for all involved.  As a venture lending fund, we combine loans with warranties or rights to purchase equity in start-up and growth companies to maximize success and compensate for risk.",https://www.linkedin.com/company/behringco/about/
Wadsworth Development Group,Real Estate,"Draper, Utah",11-50,A,"http://www.wadsdev.com
","No hiring that overlap, but. Established in 1996, Wadsworth Development Group is one of the Intermountain West’s leading full-service development and asset management companies. We’re committed to developing and managing projects that optimize the investment, enrich the local community, and go beyond our partner’s expectations.  For us, guaranteeing long-standing value is personal – because it’s the Wadsworth name that is stamped on every project.  ",https://www.linkedin.com/company/wadsworth-development-group/about/
Fox Real Estate,Real Estate,"Washington, District of Columbia",11-50,A,https://www.foxre.co/,"No hiiring but financial controllers is a role. Fox Real Estate is a performance-based property and asset management firm dedicated to maximizing the value of multifamily real estate assets. With over a decade of grit and expertise, we’ve repositioned more than $1.45 billion in properties across retail, mixed-use, and multifamily sectors. Our mission is simple: deliver results that transform underperforming assets into high-performing investments.

What sets us apart is our hospitality-driven approach. We believe that creating a welcoming, community-focused environment not only enhances tenant satisfaction but also drives financial performance. Our hands-on strategy turns distressed properties into thriving, stabilized assets within 18-24 months—blending operational excellence with a tenant-first mindset.

Our track record speaks for itself. We’re currently repositioning over 900 units, achieving an average NOI increase of 87%. For example, at Ledger in Washington DC’s Union Market, we more than tripled the NOI of a 134-unit Class A asset through strategic repositioning and hospitality-infused management.

Our Services Include:

Property and asset management
Strategic repositioning and value-add execution
Hospitality-infused operational management
Financial analysis and performance optimization
Marketing and leasing strategies
Whether you prefer a collaborative approach or a fully managed solution, our flexible service models ensure we meet your specific needs. Ready to maximize your real estate investment? Connect with us to learn how our performance-based model can drive results for your portfolio. At Fox Real Estate, we only win when you win.",https://www.linkedin.com/company/foxre/about/
"Whitebox Real Estate, LLC",Real Estate,"Dallas, TX",11-50,A,http://www.whiteboxrealestate.com,"Only  hiring for sales reps but Whitebox Real Estate is here to service the real estate needs of rapidly-scaling, forward-thinking companies that cannot be met by a stagnate commercial real estate industry still running the same playbook it has for fifty years.  

We are here because this is the time for a new vision, a new type of commercial real estate agency and with this, a new type of agent.

Mission Statement:
To play a fundamental role in the success of the next great wave of companies and provide the type of expertise that makes us a trusted resource for achieving their short and long-term goals.

Who we are for:
Smart, forward thinking companies with a clear vision of their company goals and objectives.

Who we need:
Strategic partners and consultants who think differently and provide insight and advice, not a sales pitch on behalf of the landlord.

What we provide:
A commercial real estate strategy based on the unique challenges of rapidly scaling companies.

Five Ways We Do This:
1.  We don’t do “deals”. We negotiate smarter leases that provide maximum flexibility to allow a growing company to breathe.
2.  Staying connected to our clients after the lease is signed so we can continue to provide advice and insight as they evolve.
3.  Understanding commercial real estate’s unprecedented impact on recruiting in the “gig” economy.
4.  Hiring and training a new type of real estate professional to think differently about their role in helping our clients achieve their business objectives.
5.  By building long-term relationships with our clients by ALWAYS putting their needs ahead of our own, no matter what.",https://www.linkedin.com/company/whitebox-real-estate-llc/
ZMR Capital,Real Estate,"Tampa, Florida",11-50,A,https://zmrcapital.com/,"Only hiring analysts at the moment but ZMR Capital is a real estate investment firm focused on acquiring, developing, and operating across the multifamily, single family, industrial, and hospitality asset classes. Our investment strategy is simple; target and acquire value-add opportunities in premier, high-growth markets and leverage our experience and local expertise to renovate, rebrand, and release these assets to achieve high-yield returns.",https://www.linkedin.com/company/zmr-capital/about/
Blue West Capital,Real Estate,"Denver, Colorado",11-50,A,http://www.BlueWestCapital.com,"Currently hiring for brokers, Our passion is to facilitate the acquisition and disposition of single tenant net leased properties nationwide and retail shopping centers and commercial investment properties nationwide. We do this by leveraging our 80+ years of combined commercial real estate experience with our proprietary marketing process to deliver the highest value and results to our broad client base of developers, private capital investors, high-net-worth individuals, and investment funds.
 
Why Choose Blue West Capital?

Technology has leveled the playing field among commercial real estate brokerage firms. Our differentiation comes down to our deal focus, proprietary database of principals and brokers, technologically driven marketing processes, industry research, and most importantly, our work ethic and proven track record.  We maximize value for our clients by fully cooperating with every broker throughout the country.

The Blue West Capital Process

Utilizing the Blue West Capital proprietary marketing process, we create a tailored marketing strategy to meet each of our clients’ local, regional and national property exposure goals. Our process is designed to create a competitive bidding environment that ensures the highest value, while selecting the right buyer at the right time to facilitate a successful closing. We invest heavily in market data, property sales comps, property lease comps, and maintaining a collaborative environment to guarantee client success. Our long-term relationships with developers, property owners, brokers, and tenants deliver significant value to our clients and a strong advantage over the competition.",https://www.linkedin.com/company/bluewestcapital/
Northeast Private Client Group,Real Estate,"Shelton, CT",11-50,A,https://northeastpcg.com/,"Only hiring for sales, Northeast Private Client Group is a leading mid-market investment sales firm and has been named as one of the Inc5000 Fastest-Growing Private Companies in the US.  With offices in New York, Connecticut, Rhode Island and Massachusetts, we provide unmatched results by combining specialized market intelligence with a relationship-based marketing strategy that caters to our individual clients’ needs.

We have a proven track record of matching our clients with qualified buyers of multifamily and commercial properties in the submarkets we serve. Over the past ten years, our team has closed transactions with a total value over $1.8 billion.

Our collaborative and research-driven solutions are tailored to meet the individual needs of investors and property owners across the Northeast who are looking to buy, sell or exchange mid-market properties, including mixed-use, multifamily, retail and office assets.",https://www.linkedin.com/company/northeast-private-client-group-llc/about/
BLP - Bridge Logistics Properties,Real Estate,"New York City, NY",11-50,A,http://www.bridgeblp.com,"Hiring for marketing coordinator, BLP is a highly respected, vertically integrated logistics real estate company and investment manager led by tenured, multi-disciplinary real estate veterans with experience navigating several economic environments over the past three decades. Its founding partners have closed over $20 billion of transaction volume and employ a disciplined investment strategy that is both cycle tested and innovative. 

BLP is a value focused investor that is highly collaborative with its institutional capital partners. Leveraging its deep local relationships, BLP intelligently uncovers and executes value transactions in targeted coastal and gateway markets in the U.S. and abroad.  Across its four offices – in the Northeast, West, Southeast and Central United States – BLP has proven regional experience in acquisitions, opportunistic repositioning, and development of global logistics assets. Its steadfast focus on innovation and sustainable development promotes solutions that are both profitable and socially responsible.",https://www.linkedin.com/company/blp/
GAIA,Real Estate,"Playa VIsta, California",11-50,A,http://gaiadevelopment.com/,"No jobs at the moment, GAIA — Sustainable Building Consultants for industrial & commercial real estate. We deliver LEED certification, lifecycle assessments (LCA), energy modelling, commissioning (Cx) and solar owner-rep services — hands-on, in-house, and results-driven.

Since 2005, GAIA has been at the forefront of sustainability initiatives in the real estate industry. Our team is dedicated to helping developers, owners, architects, and contractors create high-performance buildings and gain a competitive advantage in their market. With our vast project experience in REITS, industrial portfolios, lifestyle hospitality, multifamily, retail, and higher education, GAIA is leading decarbonization efforts across the built environment—from development through operations —to create resilient properties with long-term value. 

WHAT WE DO
+ Building Certification (LEED, BREEAM, WELL, Living Building Challenge)
+ Energy and Daylight Modeling 
+ Life Cycle Assessments & Embodied Carbon Analysis
+ Commissioning and Energy Audits
+ Solar Owner's Rep.
+ Reducing Embodied Carbon and Life Cycle Assessments
+ ESG Strategy & Implementation",https://www.linkedin.com/company/gaia-development/
Saul Centers,Real Estate,"Bethesda, Maryland",11-50,A,http://www.saulcenters.com,"need property managers and marketing specialists, Saul Centers, Inc. (NYSE: BFS) is a self-managed, self-administered equity REIT, formed in 1993 and headquartered in Bethesda, Maryland. Saul Centers operates and manages a real estate portfolio of 59 community and neighborhood shopping center and office properties totaling approximately 9.3 million square feet of leaseable area. Approximately 85 percent of our cash flow is generated from properties in the metropolitan Washington, D.C./Baltimore area. 

Saul Centers’ primary operating strategy is to continue its program of internal growth, renovations, and expansions of community and neighborhood shopping centers that primarily service the day-to-day necessities and services subsector of the overall retail market. Saul Centers plans to supplement its internal growth strategy through selective development of new properties and acquisitions of operating properties as appropriate opportunities arise.

",https://www.linkedin.com/company/saul-centers-inc./jobs/
